Headword,Definition
АБАЖУР,"м. фр. заслона на сьвятло, на сьвечку, лямпу; засьня, застка, ад „засень“ — цень; засьва мейсца зацененае, засьцісты даючый цень; наўзасьці знаходзячыйся ў цяню, ў заценку: зацьма, зацьмежа, зацямненьне."
АББАТ,м. фр. ігумен каталіцкага манастыра — апат. Со двома опаты. сирѣчь игумены. або архимандриты (Срезн.)
АБОРИГЕН,"м. лац. першыя пасяленцы краю першапачатковыя, пракавечныя жыхары: пракаветнікі, первабытнікі, тутэйшыя. Мы людзі тутэйшыя, пракаветнікі, а не якая набрыдзь чужацкая. Ён ня тутэйшы: бацька яго з мазуроў прыехаў і тут асеў."
АБЕРАЦИЯ,"ж. лац. фіз. разсыпнасьць ламаных праменяў сьвятла абэрацыя, злуда, улуда зроку."
АБОРДАЖ,"м. марск. зчэпка двох вадаплаваў у бітве: прычэпка меншага да большага вадаплава: закіданьне крукоў на воражы вадаплаў — абардаж, сусчэп."
АБОРТ,"м. лац. мэд. спарон плада, спарожа жывата; ад слова „апаражняць“; спарожыць; наўспораж. Кроплі наўспораж живата."
АБРЕВИАЦИЯ,"ж. лац. пісьмо пад цітламі, скарот. Першыя друкі т. зв. інкунабулы друкаваліся са скаротамі."
АБРИКОС,м. плод і дрэва Armenia vulgaris. марэля.
АБСОЛЮТНЫЙ,"лац. развязаны, аб справах духоўных; аб рэчах — бязмежны, безумоўны. безадносны, незраўнаны, самаісты, аддзельны і поўны; абсалютны, самапраудны."
АБСОЛЮТИЗМ,— абсалютызм.
АБСТРАКТНЫЙ,"м. лац. недапасаваны, незастасаваны, адарваны, супроцьлеглае: дапасаваны, датасаваны, канкрэтны: абстрактны, абстракцыя."
АВАНГАРД,"ж. франц. перадавая часьць войск, авангард, наўпяродны, чалавы, научольны."
АВАНС,"м. тарг. выдача часьці грошы наперад; задатак, заўдавацца. Не заўдавайся з ім у грашовых справах. Заўдаўся ў куплях, а цяпер німа выхаду."
АВГУСТ,восьмы месяц у годзе; жнівень.
АВДИЕНЦИЯ,"паслуханьне, прыймо. Былі ў яго на прыйме."
АВРОРА,"ж. чырвоны паяс на кругазоры да ўсходу сонца, золак, сьвітаньне; досьвітак."
АВТОБИОГРАФИЯ,"ж. напісанае самым апісаньне свайго жыцьця; аўтобіаграфія, самарыс."
АВТОКРАТИЯ,"ж. грэцк. самаўласьце, аўтакрація."
АВТОКРАТ,самаўладнік; аўтакрат.
АВТОНОМИЯ,"самаўрадаванньне, кіраваньне, самім сваімі справамі; аўтаномія, самарадзтва."
АВТОР,"м. лац. тварэц чаго, пісьменьнік; аўтор, аўторства, аўторскі."
АВТОРИТЕТ,"м. лац. выслоў або цьверджаньне вядомага чалавека прыйманае на веру без перасудаў; аўтарытэт, павага."
АГЕНТ,"м. лац. асоба, якой даручана справа ад асобы-ж, грамады, таварыства ці ўраду; ніжэйшая ступень поўнамочніка аднэй дзяржавы пры другой; агент, даручнік."
АГИТАЦИЯ,"ж. лац. намова, падбураньне, падбіваньне, каптаваньне; агітація, агітатар, агітаваць."
АГНЕЦ,"м. ягнец, ж. ягніца, с. ягнё, ягмё, ягнячы; ягнятніца водзячая ягнят авечка, жанка даглядаючая ягнят. Ягмак, гадавалае ягнё."
АГОНИЯ,"ж. грэцк. змаганьне жыцьця са сьмерцю; кананьне, непрытомнасьць паміраючага. Канае, а за зельле хапае. Каб табе такое кананьне, як гэта праўда. Перад кананьнем прызнаўся."
АГРАМАНТЫ,"м. мн. франц. барвістыя пляцёнкі са шнуркоў да абшываньня жаночых шат; крэплі, (ад „крапаць“), кутазіва, кутазьнік, майстар робячый кутазіва."
АГРАФА,"ж. франц. зашпілка, запінка, засьцібка, засьцібнуць; сушпілка, наўсушпіль."
АГРОНОМИЯ,"ж. грэцк. навука земляробства, ратайства; аграномія, поляведаньне."
АГРИКУЛЬТУРА,"земляробства, ратайства."
АДАМОВО ЯБЛОКО,"цьвёрды выступ на горле чалавека; коўцік. Каўтаць, глытаць. Каўтач памаўзьлівы ў ядзе чалавек, пьяніца; каўтнуць, глынуць, выпіць на скорую руку."
АДРЕС,"м. франц. надпісь на лісьце, пасылцы; адрэс, аселасьць, надпісь."
АД,"ж. грэцк. пекла, пякельны; пякеліць пекліць-рабіць закалот, нязгоду, сварку; пякельнік, грэшнік, жыхар пекла; пеклаводнік, сварлівец. Сызпеклый, з пекла паходзячый; наўзпекле, перадпекле; падысподная, скрозьдоная, апраметная, тхлань."
АДЬЮТОР,м. лац. памочнік падручнік.
АДЬЮНКТ,"м. лац. памочнік акадэміка, або прафэсара; асыстэнт."
АДЬЮТАНТ,"м. лац. вайсковы афіцэр для паручэньняў і перадачы загадаў, ад‘ютант, паручнік."
АЖИО,"ср. неск. тарг. італьян. пераплата, наддача пры абмене аднэй манэты на другую; лажа лажніца, лажня, крама дзе мяняюць грошы; лажовае, плата за абмен грошы: лажнік, мяняльнік грошы: лажберка, купчаньне грашамі."
АЖУР,"франц. нескл. наскрозная работа рысункаў з нітак, матэрьялу і мэталю, прасьвечаючаяся наскрозь; ажур, прозрасьць, празрысты."
АЗБУКА,"ж. сабраньне ў парадку ўсіх літар; падручнік да навучаньня літар, букар, букаўнік."
АЗАРТ,"м. газард; задор, задорысты."
АЙВА,ж. дрэва і плод Cidonia vulgaris nigra гдуля.
АИСТ,"м. пералётны птах з сямьі чапель; бусел; буслай, гультай; буслаіць, гультаіць, валондацца бяз працы."
АКАР,"Acarus, моль: тля, тля мучная сырная."
АКАЦИЯ,"ж, названьне дрэва: Acacia Robinia i Caragana, гарошнік. гарошкавае дрэва, акація."
АКАФИСТ,м. грэцк. царкоўная хвалебная песьня; акафіст; ў каталікоў — літанія; хваласьпеў.
АКИ,црк. і стар.: як бытцам.
АКЛИМАТИЗИРОВАТЬ,"што, каго, лац. прысваіваць, прывучаць да новых варункаў, клімату; акліматызаваць, прыжывечываць."
АКОМПАНИРОВАТЬ,"муз. фр., падыгрываць; трымаць другі згодны голас, акампанаваць, ўтараваць."
АКОРД,"м. франц. муз. поўнагалосьсе, сазгучча, стройнасьць згукаў; поўны падбор струн для муз. інструманта; акорд, лад, созгук."
АКРИДА,црк. шаранча.
АКРОБАТ,"м. грэцк. танцор на вяроўках: акрабат, лазмак, лазмацтва."
АКРОСТИХ,"м. грэцк. верш, дзе пачатковыя літары радкоў складаюць імя, слова, сказ; акрасьціх, скрытаслоў."
АКСЕЛЬБАНТ,"м. ням. пляцёнка са шнуркоў ношаная урадоўцамі на грудзёх; стугры. Наш ураднік стугры носіць на грудзёх. Паліцэйскаму стугра, што папу барада."
АКТИВНЫЙ,"дзейны, жыцьцёвы, жывы не бязчынны, ня мёртвы; актыўны, дзейны, чынны."
АКТЕР и АКТРЫСА,"тэатральны артыст, мастак, сцэнічны мастак, стар.: глумец, скамарох. Актар, акторка."
АКЦИЯ,"ж. фр. часць, дзялянка ў гандлі, ў прамысловасьці, ў таварыстве; акція, бонда."
АКЦЕНТ,"м. фр. змоцнены націск голасу на галоснай літары, на цэлым слове або на цэлай"
АЛАВАСТР,"м. мяккі, белы і каляровы камень з якога выразаюць начыньня і фігуркі; серчана кіслая вапна: алябастар."
АЛЕБАРДА,"ж. ням. пяхотная зброя, сякера і дзіда на доўгім дрэўку; галябарда."
АЛЛЕГОРИЯ,"м. грэцк. высказ, абраз, рэзьба, у пераносным значэньні; алягорыка, пераносьня."
АЛЛЕЯ,"ж. франц. дарога абсаджаная дрэвамі: прасада (памылкова „прысада“, слова паходзіць ад „садзіць“, не ад „абсада“ ў значэньні аправы). Ад гасьцінца да двара ідзе ліповая прасада. Сярод прасад — гасьцінец біты (Я. Купала)."
АЛКАТЬ,"галадаць, быць галодным, марыцца голадам: хацець есьці; крэпка хацець, жадаць чаго; лакнуць. Лачны, галодны. Лачнець, рабіцца галодным, галадзець. Узлакнуць, захацець есьці, зажаць чаго. Лачнасць, хцівасьць у простым і пераносным значэньні,"
АЛМАЗ,"м. першы па цьвёрдасьці, па блеску і цэннасьці з дарагіх каменяў; адамант; а калі шліфаваны, яйцавіднай формы — дыямант. Адамант названьне агульнае; брыльянт той-жа адамант, больш каштоўны дзеля поўнай шліфоўкі. Адамантшчык, таргуючый гэтымі каменямі, юбілер."
АЛТАРЬ,"м. аўтар, ахвярнік, падвышэньне рожнай формы, на якім народы, кожды па веры сваей, прыносяць Богу ахвяры: аўтарны яго датычачый, аўтарнік, слуга аўтара."
АЛТЫН,"м. татар. старасьвецкая сярэбраная манэта 6 грошы; шастак. Шэсьць дзён малаціла, шастак зарабіла."
АЛФАВИТ,"алфабат, букарнік, букарніца."
АЛЫЙ,"татар. сьветла, ярка-чырвоны; пунсовы; пунсавець, станавіцца ярка чырвоным; пунсалікі — чырвонааблічны, чырвонатвары. Пучкі ружы ўжо пунсавеюць. Пунсавее дакуль маладзее. Пунсалікі хлопчык."
АЛЬБИНОС,"м. лац. чалавек з прычыны хваробы скуры маючый белыя валасы і скуру, прычым вочы бываюць чырвоныя; альбінос белясымень, бялёсасьць."
АЛЬМАНАХ,"м. арабск. каляндар, штогоднік; альманах."
АЛЬПАГА,"ж. саета, саетовы, саян жаночае адзеньне шытае з саеты."
АЛЮВИАЛЬНЫЙ,"геалог.: прамыты вадой, намыўны, наточны."
АЛЮМИНИЙ,"м. хім. мэталь дабываны з гліны, аснова гліны, так сама як аснова жалеза іржа: алюмін, глінец."
АЛЯПОВАТЫЙ,нехламяжы.
АМАЛЬГАМА,"ж. хім. злучэньне, зьлітак другіх мэталяў з жывым серабром; залатую амальгаму робяць для пазалоты праз агонь; сьліба. Сьлібное золата. Сьлібмоўка, злучэньне мэталю з жывым серабром."
"АМБАР, АНБАР","м. будынак для перахову збожжа, а часам і для другіх тавараў; клець, сьвіран (калі пры будынку маецца асьвер)."
АМВОН,"м. грэцк. падвышэньне для прамоўцы; амбона царкоўная, моўніца сьвецкая."
АМПУТАЦИЯ,"ж. лац. адрэзаньне чэляса цела, адняцьце. Руку аднялі."
АМУЛЕТ,"м. арабск. кудмень, кудменчык."
АМУРЫ,"м. мн. франц. мілаваньнеся, мілосныя забегі; залецанкі, аморы."
АНАХОРЕТ,м. грэцк. пустэльнік.
АНАФЕМА,"ж. грэцк. царкоўнае пракляцьце, адлучэньне ад царквы; вылучэньне з грамады веручых; праклён, анатэма."
АНГАЖИРОВАТЬ,"франц. прасіць, запрашаць, заручацца."
АНГЕЛ,"м. грэцк. анел, анельскі, анёлападобны, аналодумны. На людзях анёл, а"
АНГЛИЗИРОВАТЬ,"каня, абрэзаць каню хвост па ангельску, падрэзаўшы сухія жылы спадысподу хваставіны; куртаць."
АНЕКДОТ,"м. грэцк. кароткае па зьместу і сьціслае ў выкладзе апавяданьне аб выдатным, або забаўным здарэньні; анэгдот, показка."
АНЕМИЯ,"м. грэцк, мэд. недакровіца."
АНИС,"м. расьціна з сямьі парасонікавых Pimpinella Anisum, аныж. Аныжоўка — гарэлка на аныжу прыгатаваная, гатунік яблака."
АНОМАЛИЯ,"ж. грэцк. не падобнасьць да звычайнага, адступленьне ў якім небудзь явішчы прыроды; анамалія, збочаньне."
