Headword,Definition
ПАВИЛЬОН,"м. франц. летняя прыбудоўка да дому; прыдомак, прымень."
ПАВЛИН,"м. птах Pavo cristatus; павун, павуніца, павук, пава, павіны."
ПАВНА,"праток, ручэй на балоце які рэдка замярзае, гэта выплывы рэк і рэчак; патока, паток."
ПАВОЛОКА,"ж. стар. дарагія прывозныя тканіны, асабліва шаўковыя; павалока."
ПАГУБА,"ж. загуба, згуба; гібель, пагібель, пагібельны."
ПАДАТЬ,"агульн. слав. падаць, падае, паўшы, падкі; падзь, мейсца якое праваліўшыся ці дзе нешта правалілася; падзежа; падла, падліна, сьцерва, труп палай, здохлай жывёлы; пажа, падзежа, паданьне, падыханьне жывёлы; пасьць, правал, зеў; пастка, западка, лавушка на мышэй; падучая хвароба, эпілепсія."
ПАДАЛЬ,"труп паўшай жывёлы; падліна, падла; сьцерва."
ПАДЕНИЕ,"падзежа, паданьне, спаданьне."
ПАДКИЙ,"да чаго, квапны, сквапны, скваплівы."
ПАДУЧАЯ,"хвароба, эпілепсія, пры якой чалавек час ад часу падае без памяці ў сутаргах; падучая, падучка, кадук (смал.)."
ПАЖИТЬ,"ж. пожня або поле дзе пасецца статак; паша, пасьвіць."
ПАЖ,м. фр. хлопчык арыстакратычнага роду на услугах у пануючай асобы; паж.
ПАЗ,"м. вузкая і доўгая шчэль, глыбокая разора на цеслярскіх, сталярскіх і другіх вырабах;"
ПАЗУХА,"ж. мейсца паміж грудзьмі і вопраткай над паясом; заглыбленьне паміж грудной клеткай і рукой, расійск. „мышка“: пазуха, пазушка, пазушны, пазушына. Атагрэў зьмяю за пазухай. Палажы люльку за пазуху. Паха, падпаха; заўлоньне. Вазьмі хлеба ўзаўлоньне. Атагрэў зьмяю заўлоньнем. Пахаваў ўзаўлонкі."
ПАЙ,"м. татар. часьць, дзель у складчыне, ў сябарстве, ў таварыстве; бонда, бондаўка. Ужо Чэчот („Piosnki wieśniacze z nad Niemana i Dźwiny“ Вільня 1846 г.). ў слоўнічку даложаным да вышэй названай яго кнігі зрабіў памылку ў тлумачэньні слова, „бонда“. За Чэчотам абмылку паўторыў Насовіч; за Насовічам пайшлі іншыя, як прыкладам, выдаўцы кнігі праф. Янчука („Нарысы па гысторыі беларускае літэратуры. Старадаўны пэрыод“. Менск 1922 г.) дзе слова „бонда“, ў вынасцы, тлумачыцца так: — „бочка, кадь, (укр. бодня), дзе хаваецца асабістая маемасьць і харчы; часамі значыць, выслужаная ўласнасьць — „зямля“."
ПАКЕТ,"м. франц. кувэрт, агортка з паперай у ей; спокладак, спокладзень."
ПАКИ,"прысл. зноў, ізноў. Ізноў зробіш, ізноў пакараю."
ПАКЛЯ,"ж. атрэпьпя лёну і пянькі; пакульля, пакульны; пакляваць, затыкаць шчэлкі пакульлям."
ПАКОВАТЬ,"нямецк. складаць у скрынкі, зьвязываць у трокі; спакладаць, спакладаньне, спаложаны, спакладка, спакладчык, спокладак, спокладзень; пакаваць, пакаваньне, апакоўнік, пак. Спалажы бутэлькі ў скрынку. Узяў чатыры спокладні на воз."
ПАКОСТЬ,"ж. поскудзь, паскудзіць, паскуднік; плюгаўства, плюгавасьць, плюгавіць, плюгаўнік, плюгаўка. Плыгаць, скакаць падобна жабе, поўзаць як вужака."
ПАЛЛАДА,ж. грэцк. багіня вайны.
ПАЛАДИН,м. лац. рыцар гонару.
ПАЛАНКИН,"м. драгі, насілкі."
ПАЛАТА,"ж. намет, наметка (не намёт); шацёр. Аткрыў акно, гляні на двор: на тваім дварэ стаіць шацёр навюсенькі, бялюсенькі (Вялікодн. п.). А ў полі, а ў полі татары стаялі, татары стаялі, наметы стаялі (нар. песн. Новагр. п.)."
ПАЛАЧ,"м. той хто выпаўняе сьмяротны прысуд; кат; катаваць, біць, зьдзекавацца падобна кату, прыстаўленаму на даўнейшым судзе мукамі дабыць прызнаньне."
ПАЛЕВЫЙ,"франц. колеру саломы, бледнажаўтаваты; палавы палавець."
ПАЛЕНИЦА,"ж. укр. пірог, піражок, перапеча."
ПАЛЕОГРАФИЯ,ж. часьць археолёгіі; навука аб старадаўных літарах і спосабах пісаньня; палеографія.
ПАЛЕСТИНА,ж. жыдоўск. палестына. У перакладзе азначае — бацькаўшчына.
